zipcode,
"60639"
"60707"
"60651"
"60638"
"60652"
"60615"
"60621"
"60643"
"60628"
"60636"
"60649"
"60617"
"60633"
"60643"
"60612"
"60624"
"60644"
"60653"
"60609"
"60616"
"60608"
"60827"
"60707"
"60632"
"60623"
"60629"
"60620"
"60637"
"60619"
